date,time,url,user_agent,source
"2025-12-11","00:08:36","/cgi-bin/luci/;stok=/locale","","193.142.147.209"
"2025-12-11","00:07:05","/login","Go-http-client/1.1","45.38.44.221"
"2025-12-11","03:02:27","/","Mozilla/5.0","95.111.254.9"
"2025-12-11","02:01:05","/","cypex.ai/scanning Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/126.0.0.0 Safari/537.36","3.143.33.63"
"2025-12-11","16:24:42","/favicon.ico","Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)","206.168.34.33"
"2025-12-11","02:04:20","/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46","5.187.35.158"
"2025-12-11","02:26:39","/","Mozilla/5.0 (Macintosh; Intel Mac OS X 13_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36","172.236.228.111"
"2025-12-11","00:05:34","/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36","209.38.44.57"
"2025-12-11","02:50:36","/","Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1","49.51.196.42"
"2025-12-11","03:04:55","/","Mozilla/5.0","185.16.39.146"
"2025-12-11","00:35:15","/GponForm/diag_Form?images/","Hello, World","223.167.226.215"
"2025-12-11","03:36:12","/.env","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36","45.39.31.82"
"2025-12-11","01:20:15","/","Mozilla/5.0 zgrab/0.x","20.65.194.27"
"2025-12-11","16:24:42","/","Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)","206.168.34.33"
"2025-12-11","02:03:24","/favicon.ico","Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)","66.132.153.120"
"2025-12-11","02:20:36","/","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","167.99.206.144"
"2025-12-11","16:32:01","/","Mozilla/5.0 zgrab/0.x","135.237.125.155"
"2025-12-11","02:49:00","/","","176.65.132.67"
"2025-12-11","00:23:21","/","","176.65.149.20"
"2025-12-11","03:34:24","/","Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1","43.166.136.202"
"2025-12-11","01:17:00","/","Mozilla/5.0 zgrab/0.x","20.163.38.129"
"2025-12-11","03:38:16","/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36","93.174.93.12"
"2025-12-11","02:03:19","/security.txt","Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)","66.132.153.120"
"2025-12-11","16:24:45","/security.txt","Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)","206.168.34.33"
"2025-12-11","03:19:14","/","","66.35.60.2"
"2025-12-11","02:42:04","/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 ","45.156.128.126"
"2025-12-11","00:05:34","/login","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36","209.38.44.57"
"2025-12-11","02:50:52","/cgi-bin/luci/;stok=/locale","","83.142.209.120"
"2025-12-11","00:23:21","/index.htm","Mozilla/5.0","176.65.149.20"
"2025-12-11","03:40:17","/","curl/7.64.1","47.236.248.96"
"2025-12-11","01:22:33","/","Mozilla/5.0 zgrab/0.x","62.60.135.149"
"2025-12-11","03:36:13","/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36","45.39.31.82"
